[ 2025-05-20 10:04:08,452 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-20 10:04:15,784 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-20 10:04:15,785 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-20 10:04:15,786 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-20 10:04:15,876 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-20 10:04:15,877 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-20 10:04:15,883 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-20 10:04:15,976 ] 32 root - INFO - Required number of columns:2
[ 2025-05-20 10:04:15,976 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-20 10:04:15,976 ] 32 root - INFO - Required number of columns:2
[ 2025-05-20 10:04:15,976 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-20 10:04:16,171 ] 28 root - INFO - data Validation Completed
[ 2025-05-20 10:04:16,171 ] 31 root - INFO - data Transformation started
[ 2025-05-20 10:04:16,172 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-20 10:04:16,172 ] 65 root - INFO - Starting data transformation
[ 2025-05-20 10:04:16,200 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-20 10:04:16,200 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-20 10:04:16,223 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 10:04:16,227 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 10:04:16,227 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 10:04:16,231 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 10:04:16,233 ] 35 root - INFO - data Transformation completed
[ 2025-05-20 10:04:16,234 ] 37 root - INFO - Model Training sstared
[ 2025-05-20 10:09:03,123 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 10:09:03,168 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 10:09:03,168 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-20 10:09:03,213 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-20 10:09:03,213 ] 128 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_20_2025_10_04_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9916564916564916, precision_score=0.9892407632967926, recall_score=0.9940840473276213), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733542319749217, precision_score=0.9575944487278335, recall_score=0.9896414342629483))
[ 2025-05-20 10:09:03,218 ] 42 root - INFO - Model Training artifact created
